Een dummy vraag: Wat is het juiste antwoord?;Multiple Choice;Het juiste antwoord;Het foute antwoord;Niet het juiste antwoord;Ook niet het juiste antwoord;;1
Welke wetenschapper is bekend geworden door zijn onderzoek naar evolutie?;Multiple Choice;Einstein;Darwin;Newton;;;2
Van welke soort aap stamt de mens af?;Multiple Choice;Gorilla;Chimpansee;Bonobo;Geen enkele;;4
Welk huidig dier is het meest verwant met de T-Rex?;Multiple Choice;Krokodil;Kip;Komodovaraan;Witte haai;;2
Welk soort dier was Harriet, meegebracht door Darwin na zijn expeditie in 1835 en dat uiteindelijk in 2006 stierf in een zoo in Australië?;Multiple Choice;Schildpad;Kip;Koe;;;1
Als de zon het einde van zijn leven nadert, begint hij op te zwellen tot een rode reuzenster, de aarde zal er dan nog steeds zijn, alleen is dan natuurlijk geen leven meer mogelijk. Binnen hoeveel jaar zal dit zijn ?;Multiple Choice;4.6 miljoen jaar;4.6 biljoen jaar;4.6 miljard jaar;4600 jaar;;3
Volgens sommige mensen voorspelde de Maya kalender het einde van de wereld. Op welke datum eindigt volgens deze kalender de wereld?;Multiple Choice;21 december 2012;3 november 2020;11 november 2028;17 december 2036;;1
Op welke planeet is er op 16 september 2020 fosfine gevonden? (wat kan duiden op primitief leven);Multiple Choice;Venus;Mars;Jupiter;Saturnus;;1
Welke maan in ons zonnestelsel maakt kans om leven te hebben door de aanwezigheid van veel water?;Multiple Choice;Onze maan;Io;Triton;Europa;;4
Hoe heten de planeten die rond andere sterren dan onze zon draaien? Als de omstandigheden goed zijn is er hier kans op leven.;Multiple Choice;Supernova’s;Witte dwergen;Exo-planeten;Gasplaneten;;3
Hoe heet de theorie die stelt dat leven op aarde niet ontstaan is op aarde, maar naar hier gekomen is door de ruimte?;Multiple Choice;Exormie;Panspermie;Transmie;Itermie;;2
Welke conditie is het belangrijkste opdat een planeet leven kan herbergen?;Multiple Choice;Er is zuurstof;De juiste temperatuur;Er is vaste grond;Er moeten seizoenen zijn;;2
Juli 2020 was een drukke maand want er werden maar liefst drie ruimtemissies naar de rode planeet Mars gestuurd. Een Arabische sonde genaamd Hope, een Chinese Tianwen en de Amerikanen kozen voor de complete naam Mars 2020. Maar wat is er speciaal aan de Mars 2020 missie van de NASA?;Multiple Choice;Er zijn micro-organismen mee aan boord die moeten proberen op Mars te overleven.;Er zijn twee aparte ruimtetuigen: een wagentje en een helikopter.;Het is de eerste bemande missie naar Mars.;Er is geen wagentje, er wordt telkens gevlogen naar andere plaatsen op het oppervlak.;;2
Er wordt veel gezocht naar leven op Mars, maar Venus mengt zich nu ook in de debatten. Wat hebben wetenschappers ontdekt?;Multiple Choice;In de wolken is een molecuul ontdekt die door micro-organismen gemaakt worden.;Op het oppervlak is een molecuul ontdekt die door micro-organismen gemaakt worden.;Er werden bevingen geregistreerd die niet van natuurlijke oorsprong zijn.;Er is een enorme stijging van zuurstof, veroorzaakt door plantengroei.;;1
Op de polen van onze maan zou meer water opgeslagen zijn dan tot nu toe werd aangenomen. Deze ontdekking werd geleverd door het SOFIA-observatorium. Maar wat is er bijzonder aan dit observatorium?;Multiple Choice;Niets. Het is een observatorium zoals een ander.;Het bevindt zich in een baan om de maan.;Het bevindt zich in een baan om de aarde.;Het bevindt zich in een vliegtuig.;;4
Iedereen kent de vier grootste manen van Jupiter. Maar kan je ze correct rangschikken van klein naar groot?;Multiple Choice;Ganymedes, Callisto, Europa, Io;Io, Europa, Ganymedes, Titan;Europa, Io, Callisto, Ganymedes;Callisto, Europa, Io, Ganymedes;;3
De landing van de Mars 2020 missie zal plaatsvinden in de Jezero krater. Wat is er zo speciaal aan die krater?;Multiple Choice;Het is de grootste krater op Mars.;Het is de oudste krater op Mars.;Het is een krater die vroeger gevuld was met water.;Het is de laatste krater die Opportunity bereikte.;;3
Welk voedsel is het slechtst voor het klimaat?;Multiple Choice;Kaas;Rundsvlees;Varkensvlees;Appel;;2
Waarmee kan je de meeste CO2-uitstoot besparen?;Multiple Choice;Je huis zuinig verwarmen;Altijd maximum 5 minuten douchen;Geen droogkast gebruiken;;;1
Wat veroorzaakt het broeikaseffect?;Multiple Choice;Zware regenbuien;Hondenpoep op de stoep;Koolstofdioxide (CO2);Plasticsoep;;3
Welk van de volgende drie landen telt de grootste CO2-uitstoot per inwoner?;Multiple Choice;België;Verenigde Staten van Amerika;China;;;2
Als al het ijs op Groenland en Antarctica zou smelten, met hoeveel meter zou de zeespiegel dan stijgen wereldwijd?;Multiple Choice;12 meter;36 meter;65 meter;;;3
Je staat nog in de gang van de bus wanneer die wegrijdt uit de halte en begint te versnellen. Je springt uit frustratie recht omhoog. Waar komen je voeten terecht?;Multiple Choice;Op dezelfde plaats;Meer naar de voorkant van de bus toe;Meer naar de achterkant van de bus toe;;;3
Spiegeltje, spiegeltje, aan de ruimteschipwand, met lichtbron en detector aan de overkant, voor wie reist het licht over de langste afstand?;Multiple Choice;O koningin, voor jou, hier in het ruimteschip, gaat het licht razend snel;Maar voor Sneeuwwitje op aarde vliegt jouw schip ook wel heel snel;;;;2
Wat smurft er niet?;Multiple Choice;Dichtsmurf ondersmurft hier de effecten van de zwaartekrachtsmurf en alle drie smurfen van Newton;Ismurf Newton kreeg het idee voor de zwaartekrachtsmurf toen hij een smurf op zijn peer kreeg;De derde smurf van Newton wordt ook wel actie-reactiesmurf gesmurft;Smurf Jobs was de topsmurf van Apple;;2
Dankzij welke natuurkundige smurfen hebben we vandaag GPS (Globale Positionerings-Smurf)?;Multiple Choice;De algemene relativiteitssmurf van Einsmurf;De smurfen van Newton;De gravitatiesmurf van Newton;Al het bovensmurfende smurft;;4
Dit is die jaar 2320. Aan boord van 'n ruimtetuig wat in Bloemfontein gaan land, sien jy deur die venster 'n kort treintonnel van 200 meter. 'N moltrein nader die tonnel by 60% van die ligspoed. Jy skat die trein als 300 meter lank. Wanneer sien jy die trein weer aan die ander kant verskyn?;Multiple Choice;Die trein verdwyn eers heeltemal voordat dit aan die ander kant verskyn.;Moet eers na die snelheidsmeter in die ruimteskip kyk.;Dit is 'n truukvraag!;;;3
Hij is groot en in het bijvoeglijk naamwoord zit ook zijn kleur.;Fill-in-the-Blank;Rode reus;;;;;
In het heelal zingt ze zonder instrumenten op de achtergrond.;Fill-in-the-Blank;Capella;;;;;
Een dronken man kijkt naar de sterrenhemel. Wat zal hij veel zien?;Fill-in-the-Blank;dubbel sterren;;;;;
Hij is je gids voor je oriëntatie bij nachtspelletjes. Dankzij hem geraak je het noorden nooit meer kwijt.;Fill-in-the-Blank;poolster;;;;;
Wat was het centrale thema van deze ronde?;Fill-in-the-Blank;sterren;;;;;
In Afrika is het te warm, en aan de Noordpool veel te koud. Daarom hebben wij gisteren...;Multiple Choice;... een maanraket gebouwd;... boodschappen gedaan;... een moto van een goede vriend geleend.;;;1
Ik ben hier ... , Marie is kapitein.;Multiple Choice;de Koning;de Eerste Stuurman;de Drummer;;;2
Ik vlieg nu zonder handen, het is toch altijd rechtdoor. Hé Samson kijk maar voor je...;Multiple Choice;... want wat blij dat jij er bent!;... want we varen naar Timboektoetoe.;... want daar komt een meteoor!;;;3
Als je mee wil...;Multiple Choice;Laat het water vallen, en doe gewoon je ogen dicht.;Er is plaats genoeg. We blijven weg tot morgenvroeg.;Het is wel heel ver, maar we zullen er geraken.;;;2
